date,sentiment_score
2025-01-06,0.09242903225806455
2025-01-07,0.15520999999999996
2025-01-08,0.10316326530612246
2025-01-10,0.09508545454545456
2025-01-13,0.18394358974358982
2025-01-14,0.20768888888888892
2025-01-15,0.22988333333333333
2025-01-16,0.2716107142857143
2025-01-17,0.19056666666666666
2025-01-21,0.12500333333333333
2025-01-22,0.27248965517241386
2025-01-23,0.12110000000000001
2025-01-24,0.17010833333333333
2025-01-27,-0.024338461538461538
2025-01-28,0.07489014084507042
2025-01-29,0.14400923076923078
2025-01-30,0.23288888888888884
2025-01-31,0.15297352941176467
2025-02-03,0.13208529411764705
2025-02-04,0.15280000000000002
2025-02-05,0.14706071428571427
2025-02-06,0.15948260869565217
2025-02-07,0.22407142857142853
2025-02-10,0.27196800000000004
2025-02-11,0.08366190476190478
2025-02-12,0.05452916666666666
2025-02-13,0.2802933333333334
2025-02-14,0.29203870967741935
2025-02-18,0.2685692307692307
2025-02-19,0.039680952380952386
2025-02-20,0.11741764705882352
2025-02-21,0.1013375
2025-02-24,0.09690588235294119
2025-02-25,0.08695142857142858
2025-02-26,0.06899736842105265
2025-02-27,0.13728947368421052
2025-02-28,0.018328571428571437
